gene	n_pairs_any	n_variants_any	median_tumor_AF	median_tumor_DP	median_normal_AF	median_normal_DP	pairs_any	caution_reason_symbol	n_pairs_high	n_high	n_pairs_moderate	n_moderate	n_pairs_low	n_low	n_pairs_modifier	n_modifier	n_pairs_low_splice_region	n_low_splice_region	n_pairs_functional_strict	n_functional_strict	n_pairs_functional_extended	n_functional_extended	has_symbol_caution	caution_reason_data	caution_reason	has_caution_flag	unbiased_somatic_gene_score	unbiased_somatic_gene_score_caution_adjusted
GOLGA6L2	4	4	0.095	73.5	0.031	51.0	candidate_kenya_pair_004,candidate_kenya_pair_005,candidate_kenya_pair_006,candidate_kenya_pair_007	.	1	1	2	2	0	0	1	1	0	0	3	3	3	3	False	.	.	False	21	21
LRRK2	3	3	0.096	53.0	0.03	46.0	candidate_kenya_pair_007,candidate_kenya_pair_014,candidate_kenya_pair_020	.	1	1	2	2	0	0	0	0	0	0	3	3	3	3	False	.	.	False	21	21
MYO5C	3	3	0.061	88.0	0.024	61.0	candidate_kenya_pair_013,candidate_kenya_pair_015,candidate_kenya_pair_019	.	1	1	2	2	0	0	0	0	0	0	3	3	3	3	False	.	.	False	21	21
PPP4R1	3	3	0.056	83.0	0.03	49.0	candidate_kenya_pair_004,candidate_kenya_pair_014,candidate_kenya_pair_015	.	1	1	2	2	0	0	0	0	0	0	3	3	3	3	False	.	.	False	21	21
CACNA1A	5	8	0.08099999999999999	71.5	0.051000000000000004	22.0	candidate_kenya_pair_003,candidate_kenya_pair_008,candidate_kenya_pair_010,candidate_kenya_pair_019,candidate_kenya_pair_021	.	0	0	3	6	0	0	2	2	0	0	3	6	3	6	False	.	.	False	21	21
FSIP2	4	4	0.0885	97.5	0.024	63.0	candidate_kenya_pair_007,candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_017	possible_pseudogene_symbol	0	0	4	4	0	0	0	0	0	0	4	4	4	4	True	.	possible_pseudogene_symbol	True	24	19
MDN1	5	7	0.065	74.0	0.02	78.0	candidate_kenya_pair_001,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_019,candidate_kenya_pair_020	.	0	0	3	4	1	1	2	2	0	0	3	4	3	4	False	.	.	False	19	19
TUT4	5	5	0.153	42.0	0.042	33.0	candidate_kenya_pair_002,candidate_kenya_pair_003,candidate_kenya_pair_007,candidate_kenya_pair_013,candidate_kenya_pair_021	.	1	1	1	1	2	2	1	1	1	1	2	2	3	3	False	.	.	False	18	18
AJM1	3	3	0.095	157.0	0.02	154.0	candidate_kenya_pair_003,candidate_kenya_pair_012,candidate_kenya_pair_013	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
ANKRD26	3	3	0.07	69.0	0.029	47.0	candidate_kenya_pair_005,candidate_kenya_pair_008,candidate_kenya_pair_014	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
ARID1B	4	5	0.059	75.0	0.021	59.0	candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_015,candidate_kenya_pair_019	.	0	0	3	3	0	0	1	2	0	0	3	3	3	3	False	.	.	False	18	18
ARMCX4	3	3	0.114	159.0	0.011	129.0	candidate_kenya_pair_006,candidate_kenya_pair_009,candidate_kenya_pair_013	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
ASPHD1	3	3	0.049	116.0	0.042	33.0	candidate_kenya_pair_015,candidate_kenya_pair_020,candidate_kenya_pair_021	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
ATP4A	5	5	0.095	90.0	0.032	31.0	candidate_kenya_pair_006,candidate_kenya_pair_009,candidate_kenya_pair_015,candidate_kenya_pair_017,candidate_kenya_pair_019	.	0	0	3	3	0	0	2	2	0	0	3	3	3	3	False	.	.	False	18	18
CHAC1	3	3	0.045	233.0	0.017	95.0	candidate_kenya_pair_001,candidate_kenya_pair_007,candidate_kenya_pair_014	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
DNAH11	4	5	0.107	91.0	0.03	54.0	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_015	.	0	0	3	3	1	1	1	1	0	0	3	3	3	3	False	.	.	False	18	18
DOCK11	4	4	0.0755	115.5	0.0385	41.0	candidate_kenya_pair_007,candidate_kenya_pair_010,candidate_kenya_pair_015,candidate_kenya_pair_021	.	0	0	3	3	0	0	1	1	0	0	3	3	3	3	False	.	.	False	18	18
DROSHA	4	4	0.0915	55.5	0.041499999999999995	26.0	candidate_kenya_pair_004,candidate_kenya_pair_007,candidate_kenya_pair_014,candidate_kenya_pair_019	.	0	0	3	3	1	1	0	0	0	0	3	3	3	3	False	.	.	False	18	18
