gene	n_pairs_any	n_variants_any	median_tumor_AF	median_tumor_DP	median_normal_AF	median_normal_DP	pairs_any	caution_reason_symbol	n_pairs_high	n_high	n_pairs_moderate	n_moderate	n_pairs_low	n_low	n_pairs_modifier	n_modifier	n_pairs_low_splice_region	n_low_splice_region	n_pairs_functional_strict	n_functional_strict	n_pairs_functional_extended	n_functional_extended	has_symbol_caution	caution_reason_data	caution_reason	has_caution_flag	unbiased_somatic_gene_score	unbiased_somatic_gene_score_caution_adjusted
IFT57	3	3	0.111	42.0	0.043	31.0	candidate_kenya_pair_006,candidate_kenya_pair_014,candidate_kenya_pair_019	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
IGSF9B	1	1	0.054	128.0	0.024	61.0	candidate_kenya_pair_015	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
IL17A	1	1	0.133	64.0	0.045	33.0	candidate_kenya_pair_003	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
IP6K2	2	2	0.32899999999999996	79.0	0.036000000000000004	60.5	candidate_kenya_pair_001,candidate_kenya_pair_015	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
IPO5	2	2	0.093	50.0	0.040999999999999995	38.5	candidate_kenya_pair_009,candidate_kenya_pair_019	.	1	1	0	0	1	1	0	0	0	0	1	1	1	1	False	.	.	False	9	9
KCNH6	3	3	0.071	103.0	0.033	43.0	candidate_kenya_pair_006,candidate_kenya_pair_018,candidate_kenya_pair_021	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
KCNN2	1	1	0.065	63.0	0.029	50.0	candidate_kenya_pair_015	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
KDELR3	1	1	0.313	65.0	0.031	39.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
KIAA1958	4	5	0.2	107.0	0.022	53.0	candidate_kenya_pair_002,candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_019	.	1	1	0	0	0	0	3	4	0	0	1	1	1	1	False	.	.	False	9	9
KIDINS220	2	2	0.5135	90.5	0.027000000000000003	63.0	candidate_kenya_pair_006,candidate_kenya_pair_014	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
KIF21A	1	1	0.108	54.0	0.029	49.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
KIT	3	3	0.052	144.0	0.015	103.0	candidate_kenya_pair_001,candidate_kenya_pair_013,candidate_kenya_pair_019	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
KLF4	2	2	0.6395	243.5	0.0115	129.5	candidate_kenya_pair_006,candidate_kenya_pair_009	.	1	1	0	0	1	1	0	0	0	0	1	1	1	1	False	.	.	False	9	9
KPNA4	2	2	0.213	43.0	0.048	39.5	candidate_kenya_pair_008,candidate_kenya_pair_019	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
KRT27	1	1	0.096	43.0	0.048	28.0	candidate_kenya_pair_020	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
LACC1	1	1	0.187	24.0	0.071	17.0	candidate_kenya_pair_015	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
LIN54	5	5	0.167	40.0	0.063	21.0	candidate_kenya_pair_006,candidate_kenya_pair_008,candidate_kenya_pair_012,candidate_kenya_pair_015,candidate_kenya_pair_017	.	1	1	0	0	0	0	4	4	0	0	1	1	1	1	False	.	.	False	9	9
LMOD3	2	2	0.524	86.0	0.024	62.0	candidate_kenya_pair_006,candidate_kenya_pair_019	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
LRRC7	2	2	0.0545	194.0	0.0236475	111.0	candidate_kenya_pair_001,candidate_kenya_pair_020	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
MAPK8	2	2	0.101	54.5	0.068	18.0	candidate_kenya_pair_004,candidate_kenya_pair_005	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
MBD5	1	1	0.271	196.0	0.015	187.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
MCM10	1	1	0.045	141.0	0.015	100.0	candidate_kenya_pair_008	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
MKNK2	1	1	0.064	98.0	0.009003	118.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
MMS22L	1	1	0.285	68.0	0.027	64.0	candidate_kenya_pair_010	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
MRPL3	2	2	0.283	53.5	0.046	38.0	candidate_kenya_pair_006,candidate_kenya_pair_008	.	1	1	0	0	1	1	0	0	0	0	1	1	1	1	False	.	.	False	9	9
MTMR12	1	1	0.077	172.0	0.025	58.0	candidate_kenya_pair_005	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
MYL1	2	3	0.888	85.0	0.052	27.0	candidate_kenya_pair_006,candidate_kenya_pair_007	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
NAE1	1	1	0.147	41.0	0.059	27.0	candidate_kenya_pair_007	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
NBEAL2	3	3	0.066	81.0	0.033	33.0	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_012	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
NEK3	1	1	0.968	45.0	0.072	19.0	candidate_kenya_pair_006	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
NFATC3	1	1	0.116	52.0	0.032	47.0	candidate_kenya_pair_019	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
NLGN1	2	2	0.1025	195.0	0.0135	111.5	candidate_kenya_pair_002,candidate_kenya_pair_006	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
NME5	2	2	0.204	79.0	0.019	88.5	candidate_kenya_pair_008,candidate_kenya_pair_014	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
NOC3L	1	1	0.086	54.0	0.063	24.0	candidate_kenya_pair_002	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
NOX5	1	1	0.069	102.0	0.019	72.0	candidate_kenya_pair_012	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
NR1D1	1	3	0.461	35.0	0.053	47.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	1	2	0	0	1	1	1	1	False	.	.	False	9	9
NUAK2	1	1	0.114	79.0	0.015	82.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
NUF2	1	1	0.102	58.0	0.059	25.0	candidate_kenya_pair_007	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
OPN5	1	1	0.085	98.0	0.03	48.0	candidate_kenya_pair_003	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
OR2A1	1	1	0.256	810.0	0.003241	512.0	candidate_kenya_pair_006	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
OR6X1	2	2	0.2615	124.5	0.046	51.5	candidate_kenya_pair_007,candidate_kenya_pair_012	.	1	1	0	0	1	1	0	0	0	0	1	1	1	1	False	.	.	False	9	9
OR7C1	1	1	0.347	93.0	0.035	36.0	candidate_kenya_pair_020	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
OSGIN2	1	1	0.129	43.0	0.054	26.0	candidate_kenya_pair_002	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
OTOG	2	2	0.068	120.0	0.0195	83.0	candidate_kenya_pair_004,candidate_kenya_pair_006	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
OTUB1	3	3	0.095	51.0	0.027	43.0	candidate_kenya_pair_009,candidate_kenya_pair_010,candidate_kenya_pair_015	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
PABPC4L	2	2	0.091	132.0	0.0175	84.0	candidate_kenya_pair_003,candidate_kenya_pair_014	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PC	2	3	0.053	95.0	0.026	43.0	candidate_kenya_pair_019,candidate_kenya_pair_021	.	1	1	0	0	0	0	1	2	0	0	1	1	1	1	False	.	.	False	9	9
PCF11	1	1	0.142	89.0	0.029	45.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
PEAR1	4	5	0.12	238.0	0.016	91.0	candidate_kenya_pair_005,candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_018	.	1	1	0	0	0	0	3	4	0	0	1	1	1	1	False	.	.	False	9	9
PGF	3	3	0.2	60.0	0.056	22.0	candidate_kenya_pair_007,candidate_kenya_pair_010,candidate_kenya_pair_017	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
PGR	1	1	0.038	201.0	0.01	150.0	candidate_kenya_pair_004	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
PIAS2	3	3	0.056	84.0	0.036	37.0	candidate_kenya_pair_006,candidate_kenya_pair_013,candidate_kenya_pair_020	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
PIGN	2	2	0.5215	84.5	0.0255	70.0	candidate_kenya_pair_006,candidate_kenya_pair_019	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PIKFYVE	2	2	0.2345	144.0	0.024	67.0	candidate_kenya_pair_006,candidate_kenya_pair_007	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PLEKHA3	3	3	0.056	132.0	0.016	99.0	candidate_kenya_pair_003,candidate_kenya_pair_013,candidate_kenya_pair_015	.	1	1	0	0	1	1	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PNPLA3	1	1	0.085	42.0	0.032	37.0	candidate_kenya_pair_019	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
POC5	2	2	0.1325	109.5	0.0432625	90.0	candidate_kenya_pair_009,candidate_kenya_pair_013	.	1	1	0	0	1	1	0	0	0	0	1	1	1	1	False	.	.	False	9	9
POLB	2	2	0.1305	76.5	0.062	25.0	candidate_kenya_pair_003,candidate_kenya_pair_012	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
POMT2	2	2	0.101	58.5	0.04	33.5	candidate_kenya_pair_018,candidate_kenya_pair_021	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PPP1R12C	1	1	0.046	138.0	0.024	69.0	candidate_kenya_pair_019	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
PPP1R14B	1	1	0.056	76.0	0.038	25.0	candidate_kenya_pair_004	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
PPP4R3C	1	1	0.057	117.0	0.008054	185.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
PRPF38A	2	2	0.31	106.5	0.0325	84.0	candidate_kenya_pair_007,candidate_kenya_pair_013	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PSEN2	2	2	0.096	159.0	0.029	65.0	candidate_kenya_pair_017,candidate_kenya_pair_018	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PSMA1	2	2	0.123	57.5	0.054	26.0	candidate_kenya_pair_017,candidate_kenya_pair_020	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PSPC1	3	3	0.199	27.0	0.067	18.0	candidate_kenya_pair_007,candidate_kenya_pair_015,candidate_kenya_pair_020	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
PTCHD4	1	1	0.062	263.0	0.00761	191.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
PTGS2	2	3	0.963	84.0	0.037	36.0	candidate_kenya_pair_006,candidate_kenya_pair_009	.	1	1	0	0	0	0	1	2	0	0	1	1	1	1	False	.	.	False	9	9
PTH1R	2	2	0.096	69.0	0.0485	33.0	candidate_kenya_pair_017,candidate_kenya_pair_019	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
PTPN1	1	1	0.045	186.0	0.015	114.0	candidate_kenya_pair_017	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
PUM3	2	2	0.15000000000000002	102.5	0.0375	76.5	candidate_kenya_pair_002,candidate_kenya_pair_013	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
RAPGEF4	3	4	0.113	49.5	0.0525	24.5	candidate_kenya_pair_002,candidate_kenya_pair_007,candidate_kenya_pair_018	.	1	1	0	0	0	0	2	3	0	0	1	1	1	1	False	.	.	False	9	9
RAPGEF5	2	2	0.11499999999999999	47.0	0.0465	25.0	candidate_kenya_pair_008,candidate_kenya_pair_019	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
RASEF	3	3	0.103	40.0	0.053	22.0	candidate_kenya_pair_002,candidate_kenya_pair_009,candidate_kenya_pair_014	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
RASGRF2	3	3	0.047	115.0	0.029	48.0	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_021	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
RCCD1	1	1	0.056	60.0	0.028	53.0	candidate_kenya_pair_011	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
RHBDF1	1	1	0.039	192.0	0.011	142.0	candidate_kenya_pair_019	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
RNF128	1	1	0.077	60.0	0.031	40.0	candidate_kenya_pair_006	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ROBO3	2	3	0.13	31.0	0.056	20.0	candidate_kenya_pair_001,candidate_kenya_pair_003	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
RPL13	1	1	0.053	117.0	0.028	54.0	candidate_kenya_pair_007	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
RPL3L	1	1	0.045	328.0	0.054	27.0	candidate_kenya_pair_010	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
RWDD2A	4	4	0.15200000000000002	51.0	0.0455	34.5	candidate_kenya_pair_001,candidate_kenya_pair_004,candidate_kenya_pair_007,candidate_kenya_pair_013	.	1	1	0	0	0	0	3	3	0	0	1	1	1	1	False	.	.	False	9	9
RYR2	5	5	0.124	34.0	0.048	25.0	candidate_kenya_pair_007,candidate_kenya_pair_009,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_017	.	1	1	0	0	1	1	3	3	0	0	1	1	1	1	False	.	.	False	9	9
SAMD7	1	1	0.074	192.0	0.017	95.0	candidate_kenya_pair_003	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SBF1	1	1	0.033	289.0	0.009964	136.0	candidate_kenya_pair_001	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SCART1	3	4	0.5725	123.0	0.0315	55.5	candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_013	.	1	1	0	0	1	1	2	2	0	0	1	1	1	1	False	.	.	False	9	9
SCMH1	2	2	0.097	89.0	0.029	46.5	candidate_kenya_pair_013,candidate_kenya_pair_015	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SCN2A	2	2	0.1745	27.5	0.058499999999999996	23.0	candidate_kenya_pair_014,candidate_kenya_pair_018	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SCN4A	1	1	0.063	75.0	0.034	33.0	candidate_kenya_pair_021	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SEC11A	2	3	0.333	36.0	0.053	26.0	candidate_kenya_pair_006,candidate_kenya_pair_013	.	1	1	0	0	0	0	1	2	0	0	1	1	1	1	False	.	.	False	9	9
SEL1L3	2	2	0.10099999999999999	184.0	0.012623	136.0	candidate_kenya_pair_013,candidate_kenya_pair_018	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SEPTIN4	2	2	0.15200000000000002	147.0	0.052618500000000006	142.5	candidate_kenya_pair_008,candidate_kenya_pair_011	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SERPINB2	1	1	0.086	52.0	0.047	34.0	candidate_kenya_pair_003	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SESTD1	1	1	0.143	81.0	0.038	38.0	candidate_kenya_pair_001	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SH3GL2	2	2	0.0505	156.0	0.014	106.0	candidate_kenya_pair_004,candidate_kenya_pair_013	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SIGLEC1	1	1	0.32	108.0	0.024	113.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SLC12A2	2	2	0.114	56.5	0.052	28.5	candidate_kenya_pair_009,candidate_kenya_pair_010	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SLC22A24	2	2	0.2285	73.5	0.0385	38.0	candidate_kenya_pair_006,candidate_kenya_pair_018	.	1	1	0	0	1	1	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SLC24A3	1	2	0.0685	62.0	0.055	27.0	candidate_kenya_pair_003	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SLC25A23	2	2	0.0415	164.5	0.0115	118.5	candidate_kenya_pair_014,candidate_kenya_pair_021	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SLC9B1	1	1	0.124	46.0	0.041	25.0	candidate_kenya_pair_004	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SLCO1B3	2	2	0.0945	84.0	0.0380805	97.0	candidate_kenya_pair_008,candidate_kenya_pair_012	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
SNED1	1	1	0.043	202.0	0.00967	159.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SPAG1	1	1	0.113	47.0	0.042	26.0	candidate_kenya_pair_021	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
SRRT	3	4	0.1365	108.5	0.0285	49.0	candidate_kenya_pair_003,candidate_kenya_pair_012,candidate_kenya_pair_016	.	1	1	0	0	0	0	3	3	0	0	1	1	1	1	False	.	.	False	9	9
STYK1	2	3	0.071	121.0	0.015	100.0	candidate_kenya_pair_001,candidate_kenya_pair_013	.	1	1	0	0	0	0	1	2	0	0	1	1	1	1	False	.	.	False	9	9
SYK	1	1	0.056	114.0	0.025	65.0	candidate_kenya_pair_001	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TAAR1	1	1	0.032	301.0	0.038	35.0	candidate_kenya_pair_005	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TBC1D22A	2	3	0.081	72.0	0.021	63.0	candidate_kenya_pair_012,candidate_kenya_pair_013	.	1	1	0	0	0	0	1	2	0	0	1	1	1	1	False	.	.	False	9	9
TBK1	1	1	0.094	59.0	0.035	36.0	candidate_kenya_pair_001	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TDRD15	1	1	0.05	208.0	0.007122	206.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TFAP2C	1	1	0.169	94.0	0.059	26.0	candidate_kenya_pair_015	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TGFBR3	1	1	0.116	133.0	0.022	130.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TMEM161B	1	1	0.073	52.0	0.034	43.0	candidate_kenya_pair_021	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TNFRSF10B	2	2	0.312	57.0	0.042	36.0	candidate_kenya_pair_002,candidate_kenya_pair_018	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
TPR	3	3	0.094	68.0	0.039	36.0	candidate_kenya_pair_001,candidate_kenya_pair_006,candidate_kenya_pair_009	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
TSHZ2	2	2	0.0635	102.5	0.038	34.5	candidate_kenya_pair_004,candidate_kenya_pair_005	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
TTC21B	2	2	0.1925	41.5	0.069	15.0	candidate_kenya_pair_006,candidate_kenya_pair_012	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
TTC31	1	1	0.137	32.0	0.043	24.0	candidate_kenya_pair_014	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TUFM	1	1	0.048	236.0	0.008742	173.0	candidate_kenya_pair_012	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
TWF1	1	1	0.096	40.0	0.1	13.0	candidate_kenya_pair_015	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
UBE2A	1	1	0.056	348.0	0.005065	316.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
UGT1A8	2	4	0.10750000000000001	145.5	0.013	110.0	candidate_kenya_pair_010,candidate_kenya_pair_013	.	1	1	0	0	0	0	1	3	0	0	1	1	1	1	False	.	.	False	9	9
UGT3A1	1	1	0.046	356.0	0.006042	247.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
UNC80	4	4	0.23349999999999999	22.0	0.055	22.5	candidate_kenya_pair_001,candidate_kenya_pair_002,candidate_kenya_pair_008,candidate_kenya_pair_012	.	1	1	0	0	0	0	3	3	0	0	1	1	1	1	False	.	.	False	9	9
WNK1	2	3	0.147	29.0	0.077	14.0	candidate_kenya_pair_017,candidate_kenya_pair_019	.	1	1	0	0	0	0	1	2	0	0	1	1	1	1	False	.	.	False	9	9
XKR5	1	1	0.081	237.0	0.013	111.0	candidate_kenya_pair_003	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZC3H7A	2	2	0.268	42.5	0.0645	22.5	candidate_kenya_pair_001,candidate_kenya_pair_020	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
ZC3HAV1	3	3	0.123	67.0	0.043	32.0	candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_014	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
ZFP36L1	1	1	0.313	82.0	0.016	82.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF331	1	1	0.432	98.0	0.022	58.0	candidate_kenya_pair_020	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF382	1	1	0.082	63.0	0.023	65.0	candidate_kenya_pair_014	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF480	1	1	0.278	80.0	0.023	54.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF560	1	1	0.368	49.0	0.026	48.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF594	1	1	0.051	78.0	0.031	49.0	candidate_kenya_pair_003	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF618	2	2	0.075	290.0	0.028999999999999998	115.0	candidate_kenya_pair_003,candidate_kenya_pair_015	.	1	1	0	0	0	0	1	1	0	0	1	1	1	1	False	.	.	False	9	9
ZNF644	1	1	0.152	199.0	0.014	217.0	candidate_kenya_pair_013	.	1	1	0	0	0	0	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF703	3	3	0.082	392.0	0.009228	167.0	candidate_kenya_pair_003,candidate_kenya_pair_004,candidate_kenya_pair_013	.	1	1	0	0	2	2	0	0	0	0	1	1	1	1	False	.	.	False	9	9
ZNF813	3	3	0.125	22.0	0.1	9.0	candidate_kenya_pair_004,candidate_kenya_pair_012,candidate_kenya_pair_013	.	1	1	0	0	0	0	2	2	0	0	1	1	1	1	False	.	.	False	9	9
ZNF98	3	3	0.189	36.0	0.075	20.0	candidate_kenya_pair_004,candidate_kenya_pair_007,candidate_kenya_pair_020	.	1	1	0	0	1	1	1	1	0	0	1	1	1	1	False	.	.	False	9	9
CHD4	1	4	0.07250000000000001	136.5	0.0112435	131.5	candidate_kenya_pair_013	.	0	0	1	4	0	0	0	0	0	0	1	4	1	4	False	.	.	False	9	9
FBXO43	1	4	0.14850000000000002	150.5	0.0225	69.0	candidate_kenya_pair_005	.	0	0	1	4	0	0	0	0	0	0	1	4	1	4	False	.	.	False	9	9
USP24	3	5	0.107	61.0	0.033	49.0	candidate_kenya_pair_007,candidate_kenya_pair_013,candidate_kenya_pair_020	possible_pseudogene_symbol	0	0	2	3	0	0	2	2	0	0	2	3	2	3	True	.	possible_pseudogene_symbol	True	13	8
MAGEC1	1	3	0.967	82.0	0.023	60.0	candidate_kenya_pair_006	.	0	0	1	3	0	0	0	0	0	0	1	3	1	3	False	.	.	False	8	8
MUC5AC	2	12	0.3825	140.5	0.014499999999999999	106.5	candidate_kenya_pair_006,candidate_kenya_pair_016	.	0	0	1	3	2	7	1	2	0	0	1	3	1	3	False	.	.	False	8	8
PDZD8	1	3	0.132	223.0	0.011	187.0	candidate_kenya_pair_013	.	0	0	1	3	0	0	0	0	0	0	1	3	1	3	False	.	.	False	8	8
SLC35G6	1	3	0.23	121.0	0.042	64.0	candidate_kenya_pair_015	.	0	0	1	3	0	0	0	0	0	0	1	3	1	3	False	.	.	False	8	8
TUBGCP6	4	4	0.06	205.0	0.031	96.5	candidate_kenya_pair_012,candidate_kenya_pair_015,candidate_kenya_pair_017,candidate_kenya_pair_020	possible_pseudogene_symbol	0	0	1	1	2	2	1	1	2	2	1	1	3	3	True	.	possible_pseudogene_symbol	True	12	7
