target,model,accuracy,accuracy.1,weighted_f1,weighted_f1.1,macro_f1,macro_f1.1,balanced_acc,balanced_acc.1
diagnosis,expert_fuzzy,0.8716981132075471,0.0506279542075424,0.8125623919066515,0.07270810604573728,0.2793160857636424,0.043905301785926845,0.3,0.045643546458763826
diagnosis,fuzzy,0.1547169811320755,0.06590282715687917,0.16727301810400025,0.06800740520091711,0.1059248591288259,0.04416555945231151,0.3668063973063973,0.015857964362638644
ihc,expert_fuzzy,0.19622641509433963,0.05097832485323131,0.13485977351395015,0.04134052305947572,0.12846120975467762,0.027552863492750077,0.20515592289734164,0.02619780125674985
ihc,fuzzy,0.4377358490566038,0.036293177474851585,0.28980924196578994,0.03706203063907215,0.19029280860931905,0.023379989562147367,0.2726984126984127,0.013425958505968246
laterality,expert_fuzzy,0.4188679245283019,0.06855057405503756,0.2535932517031779,0.05779203794247014,0.2374393529176138,0.0710790438415477,0.39259259259259255,0.09920811285910278
laterality,fuzzy,0.45660377358490567,0.07234071514219176,0.32622052067005936,0.07346217583670758,0.24658652504365378,0.06159608187599676,0.3522163503738892,0.07654942759954028
stage,expert_fuzzy,0.724,0.026076809620810618,0.7053445059586858,0.014672303199894805,0.4198479202135035,0.008733513809461193,0.4309523809523809,0.015521910488577735
stage,fuzzy,0.188,0.022803508501982764,0.12887140232977246,0.0393313193102479,0.18039506436736466,0.02534613214055298,0.4660714285714286,0.04201596783709715
