fold,target,model,accuracy,weighted_f1
1,diagnosis,gb,0.8333333333333334,0.8333333333333333
2,diagnosis,gb,0.8333333333333334,0.7817460317460317
3,diagnosis,gb,0.9583333333333334,0.9379432624113475
4,diagnosis,gb,0.7083333333333334,0.6910569105691058
5,diagnosis,gb,0.875,0.8166666666666667
6,diagnosis,gb,0.875,0.8166666666666667
7,diagnosis,gb,0.7916666666666666,0.7733739837398373
8,diagnosis,gb,0.875,0.8555555555555554
9,diagnosis,gb,0.7916666666666666,0.6996124031007752
10,diagnosis,gb,0.875,0.8555555555555554
1,laterality,logreg,0.5,0.493006993006993
2,laterality,logreg,0.375,0.36818181818181817
3,laterality,logreg,0.5,0.5034965034965035
4,laterality,logreg,0.4166666666666667,0.3942307692307692
5,laterality,logreg,0.25,0.29285714285714287
6,laterality,logreg,0.5,0.49003623188405787
7,laterality,logreg,0.5,0.5
8,laterality,logreg,0.5416666666666666,0.5277777777777777
9,laterality,logreg,0.5416666666666666,0.5359299516908214
10,laterality,logreg,0.7083333333333334,0.6930303030303029
1,laterality,svm_rbf,0.5416666666666666,0.5295414462081128
2,laterality,svm_rbf,0.375,0.3620169082125604
3,laterality,svm_rbf,0.4583333333333333,0.4382716049382716
4,laterality,svm_rbf,0.4583333333333333,0.4393939393939394
5,laterality,svm_rbf,0.3333333333333333,0.3714285714285714
6,laterality,svm_rbf,0.5416666666666666,0.5254629629629629
7,laterality,svm_rbf,0.375,0.3739130434782609
8,laterality,svm_rbf,0.375,0.3359683794466404
9,laterality,svm_rbf,0.4583333333333333,0.45471014492753625
10,laterality,svm_rbf,0.7083333333333334,0.6944444444444444
1,laterality,rf,0.375,0.37173913043478257
2,laterality,rf,0.375,0.36818181818181817
3,laterality,rf,0.4583333333333333,0.45362318840579713
4,laterality,rf,0.3333333333333333,0.3181818181818181
5,laterality,rf,0.3333333333333333,0.37777777777777777
6,laterality,rf,0.5833333333333334,0.5624999999999999
7,laterality,rf,0.5,0.49650349650349646
8,laterality,rf,0.4166666666666667,0.39278656126482214
9,laterality,rf,0.4583333333333333,0.4673913043478261
10,laterality,rf,0.75,0.7326127819548871
1,laterality,gb,0.5,0.5117753623188405
2,laterality,gb,0.3333333333333333,0.315018315018315
3,laterality,gb,0.6666666666666666,0.6666666666666667
4,laterality,gb,0.5,0.4772727272727273
5,laterality,gb,0.4166666666666667,0.4555555555555556
6,laterality,gb,0.5416666666666666,0.4950980392156863
7,laterality,gb,0.5416666666666666,0.5408695652173913
8,laterality,gb,0.2916666666666667,0.2619047619047619
9,laterality,gb,0.4583333333333333,0.4492753623188406
10,laterality,gb,0.6666666666666666,0.6500626566416039
1,ihc,logreg,1.0,1.0
2,ihc,logreg,1.0,1.0
3,ihc,logreg,1.0,1.0
4,ihc,logreg,0.9166666666666666,0.9173718438424321
5,ihc,logreg,1.0,1.0
6,ihc,logreg,1.0,1.0
7,ihc,logreg,0.9583333333333334,0.9592352092352092
8,ihc,logreg,1.0,1.0
9,ihc,logreg,1.0,1.0
10,ihc,logreg,0.9583333333333334,0.9587542087542088
1,ihc,svm_rbf,1.0,1.0
2,ihc,svm_rbf,1.0,1.0
3,ihc,svm_rbf,1.0,1.0
4,ihc,svm_rbf,0.9166666666666666,0.9173718438424321
5,ihc,svm_rbf,1.0,1.0
6,ihc,svm_rbf,1.0,1.0
7,ihc,svm_rbf,0.9583333333333334,0.9592352092352092
8,ihc,svm_rbf,0.9583333333333334,0.9583333333333334
9,ihc,svm_rbf,0.9583333333333334,0.9587104072398189
10,ihc,svm_rbf,0.9583333333333334,0.9587542087542088
