seed,target,model,accuracy,weighted_f1,macro_f1,balanced_acc
7,stage,fuzzy,0.16,0.07818181818181819,0.14772727272727276,0.4494047619047619
7,diagnosis,fuzzy,0.11320754716981132,0.14272207834915934,0.07552650689905592,0.36000000000000004
7,laterality,fuzzy,0.4339622641509434,0.3083416087388282,0.20175438596491227,0.2839506172839506
7,ihc,fuzzy,0.4339622641509434,0.26266137040714993,0.1513157894736842,0.25
7,stage,expert_fuzzy,0.74,0.7144827586206896,0.42528735632183906,0.44047619047619047
7,diagnosis,expert_fuzzy,0.9433962264150944,0.9159186664224217,0.32362459546925565,0.3333333333333333
7,laterality,expert_fuzzy,0.4716981132075472,0.3023705853894533,0.21367521367521367,0.3333333333333333
7,ihc,expert_fuzzy,0.22641509433962265,0.1582392639280141,0.14607948442534907,0.22529644268774704
13,stage,fuzzy,0.2,0.12207792207792206,0.1883116883116883,0.5238095238095238
13,diagnosis,fuzzy,0.09433962264150944,0.10956714761376248,0.06588235294117646,0.3541666666666667
13,laterality,fuzzy,0.5283018867924528,0.39895500725689403,0.2574358974358974,0.3365800865800866
13,ihc,fuzzy,0.4528301886792453,0.3188044831880449,0.19613947696139478,0.275
13,stage,expert_fuzzy,0.72,0.7032558139534884,0.4186046511627907,0.42857142857142855
13,diagnosis,expert_fuzzy,0.9056603773584906,0.8608257052120306,0.2376237623762376,0.25
13,laterality,expert_fuzzy,0.41509433962264153,0.24352201257861641,0.1955555555555556,0.3333333333333333
13,ihc,expert_fuzzy,0.1320754716981132,0.07912516891046495,0.09781167108753315,0.20075757575757575
21,stage,fuzzy,0.18,0.11539393939393938,0.17171717171717168,0.46130952380952384
21,diagnosis,fuzzy,0.11320754716981132,0.11238950788877695,0.08028904054596547,0.356060606060606
21,laterality,fuzzy,0.5283018867924528,0.37829023992546,0.345679012345679,0.4827586206896552
21,ihc,fuzzy,0.39622641509433965,0.2650494159928122,0.20238095238095236,0.2857142857142857
21,stage,expert_fuzzy,0.76,0.7254545454545455,0.4318181818181818,0.4523809523809524
21,diagnosis,expert_fuzzy,0.8301886792452831,0.7531608636452053,0.3024054982817869,0.3333333333333333
21,laterality,expert_fuzzy,0.4528301886792453,0.2822837539818672,0.31168831168831174,0.5
21,ihc,expert_fuzzy,0.22641509433962265,0.1727565069883129,0.14892443463872035,0.19548872180451127
42,stage,fuzzy,0.22,0.18524287434765152,0.21718185467683665,0.4851190476190476
42,diagnosis,fuzzy,0.22641509433962265,0.20304547204816747,0.1528756957328386,0.37121212121212116
42,laterality,fuzzy,0.3584905660377358,0.2113207547169811,0.19047619047619047,0.34313725490196073
42,ihc,fuzzy,0.41509433962264153,0.26227119998120263,0.18929016189290165,0.275
42,stage,expert_fuzzy,0.7,0.6917647058823528,0.4117647058823529,0.4166666666666667
42,diagnosis,expert_fuzzy,0.8301886792452831,0.7531608636452053,0.2268041237113402,0.25
42,laterality,expert_fuzzy,0.3018867924528302,0.1575061525840853,0.15458937198067632,0.2962962962962963
42,ihc,expert_fuzzy,0.24528301886792453,0.16151422075072797,0.15063424947145876,0.23534798534798534
99,stage,fuzzy,0.18,0.14346045764753113,0.17703733440385389,0.4107142857142857
99,diagnosis,fuzzy,0.22641509433962265,0.26864088462013497,0.15505069952509307,0.3925925925925926
99,laterality,fuzzy,0.4339622641509434,0.3341949927121333,0.23758713899558973,0.3146551724137931
99,ihc,fuzzy,0.49056603773584906,0.34025974025974026,0.21233766233766233,0.2777777777777778
99,stage,expert_fuzzy,0.7,0.6917647058823528,0.4117647058823529,0.4166666666666667
99,diagnosis,expert_fuzzy,0.8490566037735849,0.7797458606083943,0.30612244897959184,0.3333333333333333
99,laterality,expert_fuzzy,0.4528301886792453,0.2822837539818672,0.31168831168831174,0.5
99,ihc,expert_fuzzy,0.1509433962264151,0.10266370699223085,0.09885620915032681,0.1688888888888889
